frame,effective_expert_kl_coef,expert_kl_loss,expert_action_mse,approx_kl,entropy,actor_grad_norm,effective_actor_lr,effective_critic_lr,TP_loss
9699328,0.4000000059604645,0.6201947927474976,0.02790876477956772,0.03576727956533432,-6.023434638977051,0.18068388104438782,0.0001021436182782054,0.0005000000237487257,0.00044500574585981667
9764864,0.4000000059604645,0.25908365845680237,0.011658765375614166,0.04454626142978668,-6.019100666046143,0.18483081459999084,0.00010276620741933584,0.0005000000237487257,0.00012878671986982226
9830400,0.4000000059604645,0.15018562972545624,0.0067583536729216576,0.058813247829675674,-6.014869213104248,0.17963092029094696,0.00010338879656046629,0.0005000000237487257,0.00042123915045522153
9895936,0.4000000059604645,0.41703295707702637,0.018766483291983604,0.0724470391869545,-6.010753631591797,0.19116368889808655,0.00010401139297755435,0.0005000000237487257,0.0015882749576121569
9961472,0.39971327781677246,0.7461094856262207,0.03357492759823799,0.03905453905463219,-6.005703449249268,12.462258338928223,0.0001046339821186848,0.0005000000237487257,0.00028742433642037213
10027008,0.39942654967308044,0.3151959180831909,0.01418381743133068,0.038331110030412674,-6.002437114715576,2.478151798248291,0.00010525657853577286,0.0005000000237487257,7.716486288700253e-05
10092544,0.3991398513317108,0.3334541618824005,0.015005438588559628,0.0434424951672554,-5.998703956604004,3.103240966796875,0.00010587916767690331,0.0005000000237487257,0.00013707483594771475
10158080,0.3988531231880188,0.448369562625885,0.020176630467176437,0.010073416866362095,-5.993588447570801,72.5937728881836,0.00010650175681803375,0.0005000000237487257,0.0004428148386068642
10223616,0.3985663950443268,0.25012072920799255,0.011255433782935143,0.03709634393453598,-5.989794731140137,1.5155521631240845,0.00010712435323512182,0.0005000000237487257,0.0006338141392916441
10289152,0.39827966690063477,0.29335445165634155,0.013200953602790833,0.021945737302303314,-5.984492778778076,33.43648147583008,0.00010774694237625226,0.0005000000237487257,0.000602955580689013
10354688,0.39799296855926514,0.38586610555648804,0.017363974824547768,0.01067360956221819,-5.981328010559082,55.14936828613281,0.00010836953879334033,0.0005000000237487257,0.0029521326068788767
10420224,0.3977062404155731,0.23224946856498718,0.010451226495206356,0.046045932918787,-5.977296829223633,1.9817274808883667,0.00010899212793447077,0.0005000000237487257,0.0008662756881676614
10485760,0.3974195122718811,0.6378618478775024,0.028703782707452774,0.04789893329143524,-5.973601341247559,8.584830284118652,0.00010961471707560122,0.0005000000237487257,0.00026415992761030793
10551296,0.3971328139305115,0.9664208889007568,0.043488942086696625,0.033045560121536255,-5.968177795410156,14.213773727416992,0.00011023731349268928,0.0005000000237487257,0.00012253565364517272
10616832,0.39684608578681946,0.32473403215408325,0.014613030478358269,0.01519837137311697,-5.966989517211914,38.690826416015625,0.00011085990263381973,0.0005000000237487257,0.00011626037303358316
10682368,0.39655935764312744,0.3345347046852112,0.015054063871502876,0.023756228387355804,-5.960151672363281,28.203018188476562,0.00011148249905090779,0.0005000000237487257,0.00041252613300457597
10747904,0.3962726294994354,0.4292025566101074,0.01931411772966385,0.024861089885234833,-5.957054138183594,44.59735870361328,0.00011210508819203824,0.0005000000237487257,0.0019285485614091158
10813440,0.3959859311580658,0.26999199390411377,0.012149638496339321,0.062066689133644104,-5.952160835266113,0.35939091444015503,0.00011272767733316869,0.0005000000237487257,0.000795027066487819
10878976,0.3956992030143738,0.6280505061149597,0.028262274339795113,0.057745561003685,-5.94788122177124,0.1924344152212143,0.00011335027375025675,0.0005000000237487257,0.00031630383455194533
10944512,0.39541247487068176,0.8497002124786377,0.038236506283283234,0.05999711900949478,-5.943666458129883,0.30490657687187195,0.0001139728628913872,0.0005000000237487257,0.00018999142048414797
